"TSID","MSRP","Seating","Doors","Width","Height","Length","Wheelbase","Front_Head_Rm_in","Front_leg_room_IN","Front_shoulder_room_IN","Rear_head_room_IN","Rear leg room_IN","Rear shoulder room_IN","Fuel_Type","Engine_Type_Fuel","Fuel_Tank_Capacity_gal","Range_City_miles","Range_Hwy_miles","Mileage_City","Mileage_Hwy","Pass_Vol","Curb_weight","Cargo_Capacity_CUFT","Drive_Type","Transmission","Engine_Size","CAM_Type","Engine_Type","Cylinders","Engine_Valves","Engine_Torque_FTLBS","Engine_Torque_RPM","Horsepower","Horsepower (RPM)","Turning_circleFT","SmallOLFront","ModerateOLFront","Side","Roof","HeadRestraintsSeats","FrontCrashOPrev","Customer_Rating","Fuel","Insurance","Financing","State_Fees","Maintenance","Repairs","Depreciation"
5629,"30020","5","4",73.60,54.90,192.30,108.00,38.70,42.20,58.50,37.40,37.60,56.70,"Regular or E85","Flex-fuel",15.80,284.40,458.20,18,29,115.90,3795,16.00,"AWD","9-speed automatic",3.60,"DOHC","V","6","24","262","4250","295","6350",39.50,"G","G","G","G","G","SUPERIOR",8.00,"7805.2","2701.8","1801.2","1801.2","1501","1200.8","13208.8"
5635,"38950","5","4",74.40,58.30,196.50,118.50,41.10,45.70,58.30,38.20,35.00,57.10,"Regular","Gas",20.30,354.40,588.70,18,29,123.00,4138,15.30,"RWD","8-speed automatic",3.80,"DOHC","V","6","24","293","5000","311","6000",36.20,"G","G","G","G","G","SUPERIOR",9.50,"10127","3505.5","2337","2337","1947.5","1558","17138"
5815,"49540","5","4",72.40,57.30,190.70,112.20,38.00,42.30,57.30,37.80,36.80,55.70,"Premium","Gas",17.40,330.60,504.60,19,29,113.00,3726,14.30,"RWD","8-speed automatic",3.50,"DOHC","V","6","24","277","4800","306","6400",36.80,"G","G","G","G","G","BASIC",9.00,"12880.4","4458.6","2972.4","2972.4","2477","1981.6","21797.6"
5916,"30740","5","4",72.40,59.00,188.80,108.30,40.00,42.90,58.10,37.00,38.10,57.30,"Regular","Gas",18.50,370.00,536.50,20,29,119.60,3666,15.00,"AWD","CVT",3.60,"DOHC","Flat","6","24","247","4400","256","6000",36.80,"G","G","G","G","G","SUPERIOR",8.20,"7992.4","2766.6","1844.4","1844.4","1537","1229.6","13525.6"
5932,"30390","5","4",72.40,59.00,188.80,108.30,40.00,42.90,58.10,37.00,38.10,57.30,"Regular","Gas",18.50,370.00,518.00,20,28,119.60,3662,15.00,"AWD","6-speed automatic",3.60,"DOHC","Flat","6","24","247","4400","256","6000",36.80,"G","G","G","G","G","SUPERIOR",8.30,"7901.4","2735.1","1823.4","1823.4","1519.5","1215.6","13371.6"
5968,"36310","5","4",73.70,65.00,184.40,105.70,38.70,42.00,58.70,38.10,38.30,57.20,"Premium","Gas",16.00,320.00,464.00,20,29,129.60,3737,26.10,"FWD","6-speed automatic",3.50,"DOHC","V","6","24","252","4900","279","6200",38.90,"G","G","G","G","G","SUPERIOR",8.20,"9440.6","3267.9","2178.6","2178.6","1815.5","1452.4","15976.4"
6080,"38055","5","4",71.80,56.80,188.30,112.20,40.20,44.50,56.70,37.50,35.10,56.10,"Premium","Gas",20.00,400.00,580.00,20,29,101.90,3574,13.50,"RWD","7-speed automatic",3.70,"DOHC","V","6","24","269","5200","328","7000",36.70,"A","G","G","G","G","SUPERIOR",8.10,"9894.3","3424.95","2283.3","2283.3","1902.75","1522.2","16744.2"
6117,"34995","5","4",73.20,57.90,193.70,112.00,40.30,45.50,58.30,37.60,36.80,56.40,"Regular","Gas",18.50,370.00,536.50,20,29,123.30,3684,16.30,"FWD","6-speed automatic",3.30,"DOHC","V","6","24","255","5200","293","6400",36.50,"G","G","G","G","G","BASIC",9.10,"9098.7","3149.55","2099.7","2099.7","1749.75","1399.8","15397.8"
6121,"34895","5","4",73.20,57.90,193.70,112.00,40.30,45.50,58.30,37.60,36.80,56.40,"Regular","Gas",18.50,370.00,536.50,20,29,123.30,3684,16.30,"FWD","6-speed automatic",3.30,"DOHC","V","6","24","255","5200","293","6400",36.50,"G","G","G","G","G","BASIC",9.10,"9072.7","3140.55","2093.7","2093.7","1744.75","1395.8","15353.8"
6376,"21381","5","4",72.40,56.70,185.60,106.50,37.60,42.40,57.80,37.00,34.30,56.10,"Premium","Gas",18.50,388.50,536.50,21,29,108.50,3415,14.00,"FWD","6-speed manual",2.40,"DOHC","Inline","4","16","172","4300","201","7000",36.70,"M","G","G","G","G","NOT AVAILABLE",9.30,"5559.06","1924.29","1282.86","1282.86","1069.05","855.24","9407.64"
6388,"48555","5","4",72.20,57.20,195.50,114.60,40.40,45.70,56.90,37.50,35.40,54.80,"Premium","Gas",19.00,399.00,551.00,21,29,110.70,3820,13.70,"AWD","8-speed automatic",2.00,"DOHC","Inline","4","16","295","3000","268","5600",39.00,"M","G","G","G","G","SUPERIOR",9.20,"12624.3","4369.95","2913.3","2913.3","2427.75","1942.2","21364.2"
6889,"21830","5","4",69.40,58.70,180.00,103.70,39.60,42.30,54.70,36.90,36.10,54.30,"Regular","Gas",14.50,319.00,420.50,22,29,105.80,3142,12.30,"AWD","CVT",2.40,"DOHC","Inline","4","16","167","4100","168","6000",32.80,"A","G","G","G","G","NOT AVAILABLE",8.70,"5675.8","1964.7","1309.8","1309.8","1091.5","873.2","9605.2"
7335,"31990","5","4",73.10,59.20,196.90,111.70,38.00,41.70,57.40,37.30,40.50,56.00,"Regular or E85","Flex-fuel",18.50,3330.00,518.00,18,28,101.70,3895,13.30,"FWD","6-speed automatic",3.60,"DOHC","V","6","24","264","5300","304","6800",38.80,"G","G","G","G","G","ADVANCED",8.60,"8317.4","2879.1","1919.4","1919.4","1599.5","1279.6","14075.6"
7357,"31990","5","4",73.10,59.20,196.90,111.70,38.00,41.70,57.40,37.30,40.50,56.00,"Regular or E85","Flex-fuel",18.50,333.00,518.00,18,28,116.00,3895,13.30,"FWD","6-speed automatic",3.60,"DOHC","V","6","24","264","5300","304","6800",38.80,"G","G","G","G","G","ADVANCED",8.60,"8317.4","2879.1","1919.4","1919.4","1599.5","1279.6","14075.6"
7432,"22940","5","4",72.80,57.70,191.40,109.30,39.10,42.50,58.60,37.50,38.50,56.50,"Regular","Gas",17.20,412.80,584.80,24,34,119.00,3192,15.80,"FWD","6-speed manual",2.40,"DOHC","Inline","4","16","181","3900","185","6400",38.10,"G","G","G","G","G","BASIC",8.20,"5964.4","2064.6","1376.4","1376.4","1147","917.6","10093.6"
7459,"44875","5","4",73.30,58.80,191.00,111.60,37.80,41.90,57.40,38.30,35.00,56.30,"Regular","Gas",18.50,351.50,518.00,19,28,112.60,4053,14.90,"AWD","6-speed automatic",3.00,"DOHC","Inline","6","24","325","2100","300","5600",40.00,"G","G","G","G","G","SUPERIOR",9.20,"11667.5","4038.75","2692.5","2692.5","2243.75","1795","19745"
7603,"22151","5","4",72.40,56.70,185.60,106.50,37.60,42.40,57.80,37.00,34.30,56.10,"Premium","Gas",18.50,351.50,518.00,19,28,108.50,3680,14.00,"FWD","5-speed automatic",3.50,"SOHC","V","6","24","254","5000","280","6200",38.10,"M","G","G","G","G","NOT AVAILABLE",9.30,"5759.26","1993.59","1329.06","1329.06","1107.55","886.04","9746.44"
7616,"37810","5","4",73.70,65.00,184.40,105.70,38.70,42.00,58.70,38.10,38.30,57.20,"Premium","Gas",16.00,304.00,448.00,19,28,129.60,3902,26.10,"AWD","6-speed automatic",3.50,"DOHC","V","6","24","252","4900","279","6200",38.90,"G","G","G","G","G","SUPERIOR",8.20,"9830.6","3402.9","2268.6","2268.6","1890.5","1512.4","16636.4"
7682,"56280","5","4",72.20,57.20,195.50,114.60,40.40,45.70,56.90,37.50,35.40,54.80,"Regular","Gas",19.00,361.00,532.00,19,28,110.70,3932,13.70,"AWD","8-speed automatic",3.60,"DOHC","V","6","24","285","5300","335","6800",39.00,"M","G","G","G","G","SUPERIOR",9.20,"14632.8","5065.2","3376.8","3376.8","2814","2251.2","24763.2"
7752,"40195","5","4",73.20,57.90,193.70,112.00,40.30,45.50,58.30,37.60,36.80,56.40,"Regular","Gas",18.50,351.50,518.00,19,28,123.30,3871,16.30,"FWD","6-speed automatic",3.30,"DOHC","V","6","24","255","5200","293","6400",36.50,"G","G","G","G","G","BASIC",9.10,"10450.7","3617.55","2411.7","2411.7","2009.75","1607.8","17685.8"
7755,"39095","5","4",73.20,57.90,193.70,112.00,40.30,45.50,58.30,37.60,36.80,56.40,"Regular","Gas",18.50,351.50,518.00,19,28,123.30,3871,16.30,"FWD","6-speed automatic",3.30,"DOHC","V","6","24","255","5200","293","6400",36.50,"G","G","G","G","G","BASIC",9.10,"10164.7","3518.55","2345.7","2345.7","1954.75","1563.8","17201.8"
7771,"39745","5","4",75.90,61.60,205.60,112.90,39.70,41.90,58.60,38.50,38.60,57.40,"Regular","Gas",19.00,361.00,532.00,19,28,123.00,4126,19.20,"FWD","6-speed automatic",3.70,"DOHC","V","6","24","280","4000","305","6500",39.40,"P","G","G","G","G","BASIC",8.90,"10333.7","3577.05","2384.7","2384.7","1987.25","1589.8","17487.8"
7788,"35725","5","4",72.80,58.10,195.70,112.00,40.00,45.50,58.30,37.80,36.80,56.50,"Regular","Gas",18.50,351.50,518.00,19,28,122.70,3670,15.90,"FWD","6-speed automatic",3.30,"DOHC","V","6","24","255","5200","293","6400",36.50,"G","G","G","G","G","NOT AVAILABLE",8.50,"9288.5","3215.25","2143.5","2143.5","1786.25","1429","15719"
7794,"41005","5","4",71.30,56.30,183.70,110.20,38.20,44.80,55.90,36.90,32.20,53.40,"Premium","Gas",17.40,330.60,487.20,19,28,104.00,3593,13.80,"RWD","8-speed automatic",3.50,"DOHC","V","6","24","277","4800","306","6400",34.20,"G","G","G","G","G","ADVANCED",8.80,"10661.3","3690.45","2460.3","2460.3","2050.25","1640.2","18042.2"
7804,"36815","5","4",72.20,58.50,191.60,110.40,38.30,42.40,56.90,37.80,39.10,57.00,"Premium","Gas",18.50,370.00,518.00,20,28,117.90,3481,15.90,"FWD","6-speed automatic",3.60,"DOHC","V","6","24","258","2500","280","6200",36.40,"A","G","G","G","G","NOT AVAILABLE",8.60,"9571.9","3313.35","2208.9","2208.9","1840.75","1472.6","16198.6"
7844,"37655","5","4",72.20,58.50,191.90,110.40,38.30,42.40,56.90,37.80,39.10,57.00,"Premium","Gas",18.50,370.00,518.00,20,28,117.90,3571,15.90,"FWD","6-speed automatic",3.60,"DOHC","V","6","24","258","2500","280","6200",36.40,"G","G","G","G","G","ADVANCED",8.60,"9790.3","3388.95","2259.3","2259.3","1882.75","1506.2","16568.2"
7942,"43705","7","4",77.20,67.60,193.60,111.00,38.10,41.40,61.10,38.30,36.60,59.10,"Premium","Gas",19.50,390.00,546.00,20,28,147.30,4025,14.80,"FWD","6-speed automatic",3.50,"SOHC","V","6","24","267","4500","290","6200",37.60,"G","G","G","G","G","ADVANCED",7.50,"11363.3","3933.45","2622.3","2622.3","2185.25","1748.2","19230.2"
8010,"35835","5","4",73.70,66.10,183.50,105.70,38.70,42.00,58.70,38.10,38.30,57.20,"Premium","Gas",16.00,320.00,448.00,20,28,103.50,3717,26.10,"FWD","6-speed automatic",3.50,"SOHC","V","6","24","273","6200","251","5000",38.90,"G","G","G","G","G","NOT AVAILABLE",8.20,"9317.1","3225.15","2150.1","2150.1","1791.75","1433.4","15767.4"
8189,"27090","5","4",70.70,58.10,180.90,104.30,39.80,43.30,55.60,37.10,35.40,54.20,"Premium","Gas",15.90,333.90,445.20,21,28,108.60,3267,12.00,"AWD","6-speed manual",2.00,"DOHC","Flat","4","16","258","2000","268","5600",35.40,"G","G","G","G","G","NOT AVAILABLE",9.20,"7043.4","2438.1","1625.4","1625.4","1354.5","1083.6","11919.6"
9138,"45140","5","4",73.40,58.40,182.50,109.30,38.60,419.00,57.00,37.60,33.50,55.20,"Regular","Gas",17.80,320.40,480.60,18,27,112.60,3684,12.00,"AWD","6-speed automatic",3.00,"DOHC","Inline","6","24","354","2100","325","5600",39.00,"G","G","G","G","G","SUPERIOR",8.80,"11736.4","4062.6","2708.4","2708.4","2257","1805.6","19861.6"
9191,"31990","5","4",75.00,58.20,198.40,120.20,38.60,41.80,59.50,36.60,40.10,57.90,"Regular","Gas",18.50,333.00,499.50,18,27,120.80,4157,16.50,"AWD","8-speed automatic",3.60,"DOHC","V","6","24","260","4800","292","6350",38.70,"M","G","G","G","G","SUPERIOR",9.10,"8317.4","2879.1","1919.4","1919.4","1599.5","1279.6","14075.6"
9791,"43955","7","4",77.20,67.60,193.60,111.00,38.10,41.40,61.10,38.30,36.60,59.10,"Premium","Gas",19.50,370.50,526.50,19,27,147.30,3960,68.40,"FWD","9-speed automatic",3.50,"SOHC","V","6","24","267","4500","290","6200",38.70,"G","G","G","G","G","SUPERIOR",7.50,"11428.3","3955.95","2637.3","2637.3","2197.75","1758.2","19340.2"
9824,"35835","5","4",73.70,65.00,184.40,105.70,38.70,42.00,58.70,38.10,38.30,57.20,"Premium","Gas",16.00,304.00,432.00,19,27,103.50,3838,26.10,"AWD","6-speed automatic",3.50,"SOHC","V","6","24","251","5000","273","6200",38.90,"G","G","G","G","G","NOT AVAILABLE",8.20,"9317.1","3225.15","2150.1","2150.1","1791.75","1433.4","15767.4"
9903,"39855","5","4",71.80,57.20,188.30,112.20,40.20,44.50,56.70,37.50,35.10,56.10,"Premium","Gas",20.00,380.00,540.00,19,27,101.90,3748,13.50,"AWD","7-speed automatic",3.70,"DOHC","V","6","24","269","5200","328","7000",37.40,"A","G","G","G","G","SUPERIOR",8.10,"10362.3","3586.95","2391.3","2391.3","1992.75","1594.2","17536.2"
10026,"27390","5","4",70.70,58.10,180.90,104.30,39.80,43.30,55.60,37.10,35.40,54.20,"Premium","Gas",15.90,318.00,429.30,20,27,108.60,3269,12.00,"AWD","6-speed manual",2.00,"DOHC","Flat","4","16","258","2000","268","5600",35.40,"G","G","G","G","G","SUPERIOR",9.20,"7121.4","2465.1","1643.4","1643.4","1369.5","1095.6","12051.6"
10202,"40025","5","4",71.30,56.30,183.70,110.20,38.20,44.80,55.90,36.90,32.20,53.40,"Premium","Gas",17.40,348.00,469.80,20,27,104.00,3649,13.80,"AWD","6-speed automatic",2.50,"DOHC","V","6","24","185","4800","204","6400",35.40,"G","G","G","G","G","ADVANCED",8.80,"10406.5","3602.25","2401.5","2401.5","2001.25","1601","17611"
11035,"41425","5","4",73.10,59.20,196.90,111.70,38.00,41.70,57.40,37.30,40.50,56.00,"Regular or E85","Flex-fuel",19.50,331.50,507.00,17,26,101.70,4140,13.30,"AWD","6-speed automatic",3.60,"DOHC","V","6","24","264","5300","304","6800",38.80,"G","G","G","G","G","ADVANCED",8.60,"10770.5","3728.25","2485.5","2485.5","2071.25","1657","18227"
11565,"45955","7","4",77.20,67.60,193.60,111.00,38.10,41.40,61.10,38.30,36.60,59.10,"Premium","Gas",19.50,370.50,526.50,18,26,147.30,3960,68.40,"AWD","9-speed automatic",3.50,"SOHC","V","6","24","267","4500","290","6200",38.70,"G","G","G","G","G","SUPERIOR",7.50,"11948.3","4135.95","2757.3","2757.3","2297.75","1838.2","20220.2"
12050,"41740","5","4",75.90,61.60,205.60,112.90,39.70,41.90,58.60,38.50,38.60,57.40,"Regular","Gas",19.00,342.00,494.00,18,26,123.00,4374,19.20,"AWD","6-speed automatic",3.70,"DOHC","V","6","24","280","4000","305","6500",39.40,"P","G","G","G","G","BASIC",8.90,"10852.4","3756.6","2504.4","2504.4","2087","1669.6","18365.6"
12149,"50755","5","4",72.60,59.10,196.10,114.20,39.10,44.40,58.40,37.70,36.20,56.70,"Premium","Gas",20.00,360.00,520.00,18,26,118.50,3867,14.90,"RWD","7-speed automatic",3.70,"DOHC","V","6","24","270","5200","330","7000",36.70,"G","G","G","G","G","SUPERIOR",10.00,"13196.3","4567.95","3045.3","3045.3","2537.75","2030.2","22332.2"
12202,"51790","5","4",72.40,57.90,190.70,112.20,38.00,42.30,57.30,37.80,36.80,55.70,"Premium unleaded (required)","Gas",17.40,330.60,452.40,19,26,113.00,3891,14.30,"All wheel drive","6-speed automatic",3.50,"Double overhead cam (DOHC)","V","6","24","277","4800","306","6400",37.40,"G","G","G","G","G","ADVANCED",9.00,"13465.4","4661.1","3107.4","3107.4","2589.5","2071.6","22787.6"
12663,"43240","5","4",71.30,56.30,183.70,110.20,38.20,44.80,55.90,36.90,32.20,53.40,"Premium","Gas",17.40,330.60,452.40,19,26,104.00,3737,13.80,"AWD","6-speed automatic",3.50,"DOHC","V","6","24","277","4800","306","6400",35.40,"G","G","G","G","G","ADVANCED",8.80,"11242.4","3891.6","2594.4","2594.4","2162","1729.6","19025.6"
13670,"40990","5","4",75.00,58.30,200.80,120.20,38.60,41.80,59.50,36.60,40.10,57.90,"Premium","Gas",18.50,277.50,462.50,15,25,120.80,4400,16.50,"RWD","8-speed automatic",6.40,"OHV","V","8","16","475","4200","485","6000",37.50,"M","G","G","G","G","SUPERIOR",9.10,"10657.4","3689.1","2459.4","2459.4","2049.5","1639.6","18035.6"
13834,"33990","5","4",75.00,58.20,198.40,120.20,38.60,41.80,59.50,36.60,40.10,57.90,"Regular","Flex-fuel",18.50,296.00,462.50,16,25,120.80,4264,16.50,"RWD","8-speed automatic",5.70,"OHV","V","8","16","395","4200","370","5250",37.70,"M","G","G","G","G","SUPERIOR",9.10,"8837.4","3059.1","2039.4","2039.4","1699.5","1359.6","14955.6"
13898,"41450","5","4",74.40,58.30,196.50,118.50,41.10,45.70,58.30,38.20,35.00,57.10,"Regular","Gas",20.30,324.80,507.50,16,25,123.00,4295,15.30,"AWD","8-speed automatic",3.80,"DOHC","V","6","24","293","5000","311","6000",36.20,"G","G","G","G","G","SUPERIOR",9.50,"10777","3730.5","2487","2487","2072.5","1658","18238"
13983,"44440","5","4",73.00,55.80,189.10,106.70,37.40,41.60,56.00,36.60,41.60,56.00,"Premium","Gas",18.50,314.50,462.50,17,25,106.80,3851,13.20,"AWD","6-speed automatic",3.60,"DOHC","V","6","24","265","2750","280","6200",36.40,"M","G","G","G","G","NOT AVAILABLE",8.90,"11554.4","3999.6","2666.4","2666.4","2222","1777.6","19553.6"
14184,"28962","5","4",74.00,57.20,194.00,109.30,38.40,42.50,58.20,36.70,36.20,56.20,"Premium","Gas",18.50,314.50,462.50,17,25,110.70,3858,12.50,"AWD","6-speed manual",3.70,"SOHC","V","6","24","273","5000","305","6300",38.90,"G","G","G","G","G","NOT AVAILABLE",9.50,"7530.12","2606.58","1737.72","1737.72","1448.1","1158.48","12743.28"
14457,"46735","5","4",75.90,61.60,205.60,112.90,39.70,41.90,58.60,38.50,38.60,57.40,"Regular","Gas",19.00,323.00,475.00,17,25,123.00,4479,19.20,"AWD","6-speed automatic",3.50,"DOHC","V","6","24","350","1500","365","5700",39.40,"P","G","G","G","G","BASIC",8.90,"12151.1","4206.15","2804.1","2804.1","2336.75","1869.4","20563.4"
15280,"30490","5","4",70.70,58.10,180.90,104.30,37.20,43.30,55.60,37.10,35.40,54.20,"Premium","Gas",15.90,302.10,397.50,19,25,105.10,3433,12.00,"AWD","CVT",2.00,"DOHC","Flat","4","16","258","2000","268","5600",35.40,"G","G","G","G","G","NOT AVAILABLE",9.20,"7927.4","2744.1","1829.4","1829.4","1524.5","1219.6","13415.6"
16564,"63755","5","4",72.60,59.10,196.10,114.20,39.10,44.40,58.40,37.70,36.20,56.70,"Premium","Gas",20.00,320.00,480.00,16,24,118.50,4039,14.90,"RWD","7-speed automatic",5.60,"DOHC","V","8","32","417","4400","420","6000",36.70,"G","G","G","G","G","SUPERIOR",10.00,"16576.3","5737.95","3825.3","3825.3","3187.75","2550.2","28052.2"
16591,"63845","5","4",72.60,59.10,196.10,114.20,39.10,44.40,58.40,37.70,36.20,56.70,"Premium","Gas",20.00,320.00,480.00,16,24,103.60,4039,14.90,"RWD","7-speed automatic",5.60,"DOHC","V","8","32","417","4400","420","6000",36.70,"G","G","G","G","G","SUPERIOR",10.00,"16599.7","5746.05","3830.7","3830.7","3192.25","2553.8","28091.8"
17664,"30890","5","4",70.70,58.10,180.90,104.30,37.20,43.30,55.60,37.10,35.40,54.20,"Premium","Gas",15.90,286.20,381.60,18,24,105.10,3450,12.00,"AWD","CVT",2.00,"DOHC","Flat","4","16","258","2000","268","5600",36.00,"G","G","G","G","G","SUPERIOR",9.20,"8031.4","2780.1","1853.4","1853.4","1544.5","1235.6","13591.6"
18079,"52905","5","4",72.60,59.60,196.10,114.20,39.10,44.40,58.40,37.70,36.20,56.70,"Premium","Gas",20.00,340.00,480.00,17,24,118.50,4068,14.90,"AWD","7-speed automatic",3.70,"DOHC","V","6","24","270","5200","330","7000",37.40,"G","G","G","G","G","SUPERIOR",10.00,"13755.3","4761.45","3174.3","3174.3","2645.25","2116.2","23278.2"
19317,"62450","5","4",74.40,58.70,203.10,119.90,38.70,45.10,59.10,37.70,38.80,58.00,"Premium","Gas",20.30,304.50,466.90,15,23,126.00,4553,16.70,"RWD","8-speed automatic",5.00,"DOHC","V","8","32","376","5000","429","6400",39.60,"G","G","G","G","G","NOT AVAILABLE",9.40,"16237","5620.5","3747","3747","3122.5","2498","27478"
19463,"54450","5","4",74.40,58.30,196.50,118.50,39.40,45.70,58.30,38.20,35.00,57.10,"Premium","Gas",20.30,304.50,466.90,15,23,123.00,4541,15.30,"RWD","8-speed automatic",5.00,"DOHC","V","8","32","383","5000","420","6000",36.20,"G","G","G","G","G","SUPERIOR",9.50,"14157","4900.5","3267","3267","2722.5","2178","23958"
20160,"66255","5","4",72.60,59.10,196.10,114.20,39.10,44.40,58.40,37.70,36.20,56.70,"Premium","Gas",20.00,320.00,460.00,16,23,118.50,4248,14.90,"AWD","7-speed automatic",5.60,"DOHC","V","8","32","417","4400","420","6000",37.40,"G","G","G","G","G","SUPERIOR",10.00,"17226.3","5962.95","3975.3","3975.3","3312.75","2650.2","29152.2"
20372,"35490","5","4",70.70,58.10,180.90,104.30,39.80,43.30,55.60,37.10,35.40,54.20,"Premium","Gas",15.90,270.30,365.70,17,23,108.60,3386,12.00,"AWD","6-speed manual",2.50,"DOHC","Flat","4","16","290","4000","305","6000",36.00,"G","G","G","G","G","SUPERIOR",9.20,"9227.4","3194.1","2129.4","2129.4","1774.5","1419.6","15615.6"
21537,"64990","5","4",75.00,58.30,200.80,120.40,38.60,41.80,59.50,36.60,40.10,57.90,"Premium","Gas",18.50,240.50,407.00,13,22,120.80,4575,16.50,"RWD","8-speed automatic",6.20,"OHV","V","8","16","650","4800","707","6000",38.50,"M","G","G","G","G","SUPERIOR",9.10,"16897.4","5849.1","3899.4","3899.4","3249.5","2599.6","28595.6"
44277,"22281","5","4",72.00,57.80,191.90,109.30,40.00,45.00,56.40,37.10,36.10,46.40,"Regular","Gas",18.00,486.00,702.00,27,39,117.30,3197,15.40,"FWD","CVT",2.50,"DOHC","Inline","4","16","180","4000","182","6000",36.10,"G","G","G","G","G","SUPERIOR",7.80,"5793.06","2005.29","1336.86","1336.86","1114.05","891.24","9803.64"
44279,"25570","5","4",69.00,56.30,179.40,105.10,39.00,42.00,56.60,37.10,36.20,53.30,"Regular","Hybrid",13.20,580.80,620.40,44,47,105.30,2873,10.70,"FWD","CVT",1.50,"SOHC","Inline","4","16","127","1000","110","5500",35.40,"G","G","G","G","G","BASIC",8.70,"6648.2","2301.3","1534.2","1534.2","1278.5","1022.8","11250.8"
44280,"20316","5","4",70.60,55.60,179.09,105.10,38.00,42.30,55.60,35.90,34.10,53.50,"Premium","Hybrid",13.20,514.80,501.60,39,38,99.30,2959,10.00,"FWD","CVT",1.50,"SOHC","Inline","4","16","127","1000","111","5500",36.10,"G","G","G","G","G","NOT AVAILABLE",8.40,"5282.16","1828.44","1218.96","1218.96","1015.8","812.64","8939.04"
